id_ucznia,imie,nazwisko,klasa,wiek,id_rodzica,krotki_opis_nauczyciela,srednia_z_zachowania,srednia_ocen,podejrzenie_ADHD
1,Oliwia,Lewandowski,1D,9.0,101.0,Lubi pracę w grupie.,4.3,5.2,podejrzenie
2,Oliwia,Sikora,3C,9.0,102.0,Świetnie współpracuje z klasą.,5.0,5.6,brak
3,Igor,Zielińska,1E,7.0,103.0,Bardzo dobre wyniki i wzorowe zachowanie.,5.7,4.4,brak
4,Michał,Nowak,2D,7.0,104.0,Świetnie współpracuje z klasą.,4.5,5.9,brak
5,Filip,Wróbel,3D,7.0,105.0,Wymaga wsparcia przy koncentracji.,5.3,5.0,brak
6,Szymon,Pawlak,2C,9.0,106.0,Często bierze udział w konkursach.,5.5,3.9,brak
7,Oliwia,Pawlak,3A,9.0,107.0,Otwarty na nowe wyzwania.,6.0,5.7,brak
8,Aleksander,Zając,3A,7.0,108.0,Wymaga wsparcia przy koncentracji.,5.4,4.4,brak
9,Antoni,Kowalska,3D,8.0,109.0,Chętnie pomaga nauczycielowi.,4.6,5.3,brak
10,Wiktoria,Jabłoński,2E,7.0,110.0,Chętnie pomaga nauczycielowi.,5.6,5.1,brak
11,Zuzanna,Król,1B,9.0,111.0,Bardzo dobre wyniki i wzorowe zachowanie.,5.2,5.3,brak
12,Michał,Wójcik,3A,7.0,112.0,Wymaga wsparcia przy koncentracji.,4.9,5.0,brak
13,Lena,Nowak,3A,8.0,113.0,Wzorowa uczennica.,4.4,4.8,brak
"14,Szymon,Kowalska,3A,9,114,"" dociekliwa."""""",4.5,5.2,brak"
15,Lena,Wieczorek,3E,8.0,115.0,Chętnie pomaga nauczycielowi.,4.6,5.0,brak
16,Julia,Kowalska,3C,9.0,116.0,Bardzo grzeczna i ambitna.,4.5,5.5,brak
"17,Lena,Wójcik,2E,9,117,"" aktywna na lekcjach."""""",5.3,4.4,brak"
18,Oliwia,Lewandowski,1A,8.0,118.0,Dynamiczny i pełen energii.,4.8,6.0,brak
19,Michał,Duda,1D,7.0,119.0,Chętnie pomaga nauczycielowi.,5.9,5.3,brak
20,Maja,Mazur,3D,7.0,120.0,Wzorowa uczennica.,5.1,5.0,brak
"21,Michał,Grabowski,1D,8,121,"" dużo pyta."""""",4.9,4.9,brak"
"22,Lena,Pawlak,2E,9,122,"" ale pilna uczennica."""""",5.9,4.8,brak"
"23,Aleksander,Wiśniewska,3B,7,123,"" ale pracuje nad sobą."""""",5.1,5.2,brak"
24,Julia,Wiśniewska,2C,9.0,124.0,Lubi pracę w grupie.,4.7,5.3,brak
25,Zuzanna,Lewandowski,2E,9.0,125.0,Otwarty na nowe wyzwania.,4.5,4.3,brak
26,Julia,Wójcik,1C,7.0,126.0,Lubi pracę w grupie.,4.7,5.7,brak
"27,Zuzanna,Kowalska,3B,8,127,"" czasem rozkojarzony."""""",5.7,5.8,brak"
28,Julia,Duda,3A,9.0,128.0,Często bierze udział w konkursach.,5.9,5.6,brak
29,Filip,Pawlak,1A,7.0,129.0,Wzorowa uczennica.,4.5,6.0,brak
30,Amelia,Król,1B,7.0,130.0,Bardzo dobre wyniki i wzorowe zachowanie.,5.8,5.6,brak
31,Szymon,Grabowski,1D,9.0,131.0,Bardzo grzeczna i ambitna.,4.6,5.3,brak
32,Michał,Jabłoński,2C,9.0,132.0,Dynamiczny i pełen energii.,5.9,5.8,brak
"33,Oliwia,Nowak,2A,7,133,"" ale wymaga motywacji."""""",4.8,4.3,brak"
34,Igor,Pawlak,3E,9.0,134.0,Często bierze udział w konkursach.,6.0,5.2,brak
35,Zuzanna,Wróbel,1C,7.0,135.0,Chętnie pomaga nauczycielowi.,5.1,5.3,brak
36,Amelia,Lewandowski,3C,8.0,136.0,Kreatywna i zaangażowana.,4.4,4.8,brak
37,Franciszek,Mazur,3B,7.0,137.0,Otwarty na nowe wyzwania.,4.0,5.2,podejrzenie
38,Kacper,Lewandowski,3A,7.0,138.0,Kreatywna i zaangażowana.,5.4,4.0,brak
39,Szymon,Duda,1E,7.0,139.0,Bardzo dobre wyniki i wzorowe zachowanie.,4.8,5.8,brak
40,Maja,Wójcik,1B,8.0,140.0,Dynamiczny i pełen energii.,5.0,5.1,brak
41,Jan,Kowalska,1D,8.0,141.0,Wrażliwa i empatyczna wobec innych.,3.8,5.0,stwierdzone
42,Amelia,Jabłoński,2D,7.0,142.0,Często bierze udział w konkursach.,5.4,5.8,brak
43,Kacper,Sikora,3D,8.0,143.0,Lubi pracę w grupie.,4.5,5.7,brak
"44,Jan,Piotrowski,2E,9,144,"" dociekliwa."""""",5.8,5.4,brak"
45,Natalia,Wróbel,1A,8.0,145.0,Wymaga wsparcia przy koncentracji.,5.3,4.8,brak
46,Zuzanna,Sikora,2E,7.0,146.0,Bardzo dobre wyniki i wzorowe zachowanie.,4.5,5.8,brak
47,Aleksander,Nowak,3A,8.0,147.0,Wrażliwa i empatyczna wobec innych.,4.5,5.8,brak
48,Oliwia,Mazur,2A,8.0,148.0,Otwarty na nowe wyzwania.,6.0,5.7,brak
"49,Michał,Wróbel,3C,9,149,"" ale pracuje nad sobą."""""",5.1,5.7,brak"
"50,Natalia,Krawczyk,2C,9,150,"" ale systematyczny."""""",5.5,5.4,brak"
51,Jan,Wróbel,3E,8.0,151.0,Dynamiczny i pełen energii.,5.1,5.7,brak
52,Igor,Zielińska,3B,7.0,152.0,Otwarty na nowe wyzwania.,5.6,4.8,brak
"53,Michał,Duda,3C,9,153,"" dużo pyta."""""",5.1,5.0,brak"
54,Natalia,Król,2D,7.0,154.0,Bardzo grzeczna i ambitna.,5.2,5.7,brak
55,Szymon,Sikora,3C,7.0,155.0,Dynamiczny i pełen energii.,4.5,6.0,brak
56,Julia,Baran,1B,8.0,156.0,Wrażliwa i empatyczna wobec innych.,5.4,5.9,brak
57,Aleksander,Wieczorek,3A,7.0,157.0,Kreatywna i zaangażowana.,4.4,5.3,stwierdzone
58,Antoni,Duda,3E,8.0,158.0,Bardzo grzeczna i ambitna.,4.4,5.8,brak
59,Oliwia,Kamiński,2C,7.0,159.0,Dynamiczny i pełen energii.,4.7,5.9,brak
60,Szymon,Piotrowski,2A,9.0,160.0,Wymaga wsparcia przy koncentracji.,5.5,5.0,brak
61,Szymon,Wróbel,1B,8.0,161.0,Otwarty na nowe wyzwania.,4.9,5.7,brak
62,Szymon,Lewandowski,1E,7.0,162.0,Świetnie współpracuje z klasą.,4.6,5.8,brak
63,Oliwia,Piotrowski,3B,7.0,163.0,Lubi pracę w grupie.,4.5,5.1,brak
"64,Igor,Nowak,2C,9,164,"" ale pilna uczennica."""""",5.8,5.2,brak"
65,Amelia,Kowalska,2C,8.0,165.0,Kreatywna i zaangażowana.,3.9,5.1,podejrzenie
66,Antoni,Zając,3D,8.0,166.0,Lubi pracę w grupie.,5.9,5.5,brak
67,Igor,Duda,3D,8.0,167.0,Świetnie współpracuje z klasą.,6.0,4.8,brak
68,Jan,Wróbel,1E,7.0,168.0,Często bierze udział w konkursach.,5.1,4.9,brak
"69,Laura,Zielińska,2E,7,169,"" dużo pyta."""""",5.2,6.0,brak"
70,Wiktoria,Pawlak,2D,8.0,170.0,Często bierze udział w konkursach.,5.7,5.7,brak
71,Natalia,Sikora,1A,9.0,171.0,Wymaga wsparcia przy koncentracji.,6.0,5.0,brak
72,Natalia,Wójcik,3B,8.0,172.0,Chętnie pomaga nauczycielowi.,5.0,5.1,brak
73,Antoni,Duda,1A,8.0,173.0,Dynamiczny i pełen energii.,5.0,5.9,brak
74,Szymon,Wróbel,3D,8.0,174.0,Otwarty na nowe wyzwania.,5.9,5.0,brak
"75,Franciszek,Krawczyk,2D,9,175,"" dociekliwa."""""",5.0,5.1,brak"
76,Filip,Krawczyk,2E,8.0,176.0,Świetnie współpracuje z klasą.,4.5,5.3,brak
77,Oliwia,Nowak,2D,7.0,177.0,Kreatywna i zaangażowana.,5.6,5.2,brak
78,Nikodem,Krawczyk,2C,8.0,178.0,Dynamiczny i pełen energii.,4.6,5.2,brak
79,Laura,Kamiński,2A,9.0,179.0,Chętnie pomaga nauczycielowi.,5.9,5.4,brak
80,Jan,Kowalska,1A,7.0,180.0,Kreatywna i zaangażowana.,3.5,5.1,stwierdzone
81,Antoni,Nowak,2C,8.0,181.0,Bardzo dobre wyniki i wzorowe zachowanie.,4.7,5.1,brak
82,Wiktoria,Wieczorek,1C,9.0,182.0,Wzorowa uczennica.,5.7,5.1,brak
"83,Natalia,Baran,2E,9,183,"" dociekliwa."""""",5.8,4.8,brak"
"84,Zuzanna,Piotrowski,1E,8,184,"" ale systematyczny."""""",5.4,4.9,brak"
85,Jan,Wróbel,2E,9.0,185.0,Często bierze udział w konkursach.,5.0,5.1,brak
"86,Filip,Zielińska,3D,7,186,"" dociekliwa."""""",5.2,4.8,brak"
87,Maja,Jabłoński,2D,8.0,187.0,Często bierze udział w konkursach.,5.3,4.8,brak
88,Antoni,Lewandowski,3B,7.0,188.0,Dynamiczny i pełen energii.,4.6,5.6,podejrzenie
89,Wiktoria,Jabłoński,3E,9.0,189.0,Świetnie współpracuje z klasą.,5.6,5.3,brak
"90,Maja,Wójcik,1D,9,190,"" ale systematyczny."""""",5.9,5.6,brak"
91,Wiktoria,Kamiński,3D,8.0,191.0,Dynamiczny i pełen energii.,4.7,4.1,brak
92,Wiktoria,Mazur,2E,7.0,192.0,Chętnie pomaga nauczycielowi.,4.7,5.9,brak
93,Szymon,Baran,1D,8.0,193.0,Dynamiczny i pełen energii.,4.1,5.8,podejrzenie
94,Nikodem,Krawczyk,3A,9.0,194.0,Bardzo grzeczna i ambitna.,5.9,4.9,brak
95,Zofia,Wieczorek,2C,7.0,195.0,Wymaga wsparcia przy koncentracji.,4.3,4.7,stwierdzone
96,Jan,Mazur,1A,8.0,196.0,Wrażliwa i empatyczna wobec innych.,5.8,5.5,brak
97,Antoni,Kamiński,3A,8.0,197.0,Wrażliwa i empatyczna wobec innych.,5.2,3.8,brak
98,Szymon,Wieczorek,2A,7.0,198.0,Chętnie pomaga nauczycielowi.,3.4,5.1,stwierdzone
"99,Antoni,Wieczorek,1A,9,199,"" ale pracuje nad sobą."""""",4.3,4.9,stwierdzone"
"100,Maja,Wójcik,3A,8,200,"" dociekliwa."""""",4.5,5.0,brak"
